7356 20
became	-2.505	-0.735	-1.486	1.218	-1.553	1.791	1.683	5.044	-1.779	1.645	-0.191	0.572	-1.746	1.861	-4.239	-1.650	-5.717	3.717	-1.238	1.018
form	3.490	-3.614	1.670	1.294	-4.280	1.088	-1.951	0.155	-2.006	0.900	0.140	-3.849	-0.375	-0.952	2.784	-0.685	1.655	0.404	-0.271	3.403
several	-4.988	-2.579	1.306	-1.966	-3.044	-1.278	1.284	2.207	-0.818	-3.780	-1.415	0.849	2.115	2.262	1.200	-1.384	-1.127	2.304	-1.836	2.341
your	1.453	1.198	0.619	-5.140	-2.032	-1.643	-6.952	-4.346	5.010	2.515	2.678	6.574	-4.053	3.569	-2.594	4.195	6.500	-1.181	1.633	-2.526
she	-2.139	7.551	0.421	-2.137	-1.881	4.006	-1.278	0.828	9.968	3.579	5.984	0.297	-5.540	-1.471	-2.879	3.264	-2.434	0.813	-2.002	0.819
national	-5.692	-1.040	-4.685	6.970	-3.395	0.418	-1.349	0.851	-0.686	-0.194	-6.680	3.138	1.080	2.004	0.712	-3.062	-2.833	-3.631	1.718	-4.451
french	0.016	-2.649	-0.252	3.104	0.170	3.410	4.714	-1.537	-4.739	1.430	-0.920	-1.230	-4.472	-2.575	-2.133	-5.325	-7.657	3.716	1.947	-4.254
those	-0.940	-1.457	6.087	-2.095	-3.112	-0.650	-5.239	1.430	2.620	-0.871	-1.337	-0.491	-1.303	0.715	2.865	1.042	-1.599	2.816	-1.610	1.391
general	-0.186	-0.480	-0.033	3.925	0.573	-2.356	0.290	2.364	-0.993	3.649	-4.304	0.328	-1.867	0.655	-0.405	-4.244	-2.427	-3.235	-1.875	0.056
great	-0.968	-1.015	0.532	1.465	-2.500	0.240	0.030	3.968	1.038	-0.433	0.691	1.774	0.495	-1.155	-6.943	2.574	-1.339	3.182	0.555	1.446
against	-0.305	-2.756	1.985	-0.201	0.702	-4.726	-1.002	8.264	2.921	1.552	0.912	1.561	-0.180	1.837	1.972	0.035	-7.765	-0.967	-1.898	-3.254
